id,dimension,module,scenario,corti_observation,icoder_observation,gap_type,severity,impact,root_cause,evidence,screenshot,priority,recommendation,estimated_effort,owner_suggestion
G001,Performance,Medical Coding,Run T12 vertebral fracture case end-to-end,"Corti returns 7 ICD codes in ~8s (M54.9/M54.89/W19.XXXA/S22.089A/M81.0/I10/E11.9/Z47.89), $0.06 consumed","iCoDer MedCodER 5-stage pipeline (extract/retrieve/merge/rerank/compliance) exceeds 60s frontend timeout, no codes returned",RUNTIME_GAP,S1,Blocks core medical coding use case; users cannot get predictions; product unfit for clinical workflow,MedCodER 5-stage pipeline runs 2 DeepSeek calls + BGE-M3 retrieval + FAISS + re-rank DeepSeek call + compliance rule engine sequentially; Corti uses single-stage LLM call with simpler prompt,scenario_02_corti_result.png + scenario_05_icoder_timeout.png + backend log 16:12:10/16:12:15 2x200 OK DeepSeek,P0,"Add streaming SSE for partial results; cache retrieval index in memory; parallelize stage 1+2; consider prompt-only fast path for simple cases (like Corti)",3-5 days,Backend Runtime
G012,IA,AI Studio Overview,View 6 capability cards,"Corti AI Studio Overview has 6 capability cards (Agents/STT/TextGen/Embedded/FactExtraction/MedicalCoding)","iCoDer AI Studio Overview has 6 capability cards matching Corti (with 2 collapsed: STT/TextGen/Embedded removed)",UX_DIFF,S0,Parity achieved with intentional scope reduction,cortic_03 vs icoder_03,P0,Maintain parity,0,Frontend
G013,UX,Top Bar Credits,View credits link in top bar,"Corti top breadcrumb bar has $48.78 Available credits link + Daily credits chart","iCoDer top header has $50.00 credits link (Phase 4-D verified) + Usage page chart",UX_DIFF,S0,Parity achieved,cortic_02 vs icoder_02,P0,Maintain parity,0,Frontend
G014,Localization,Templates Page,View clinical document templates,"Corti Templates page has generic template list (Beta badge, 6 items)","iCoDer Templates page has 9 Chinese clinical categories: 出院小结/入院记录/手术记录/查房记录/交接班记录/疑难病例讨论/术前讨论/术后讨论/死亡病例讨论",LOCALIZATION_WIN,S0,iCoDer exceeds Corti for China clinical workflow; native clinical document templates out of the box,China-specific design investment; Corti generic templates don't match Chinese hospital document standards,cortic_20_templates.png vs icoder_13_templates.png,P0,Maintain advantage; document as iCoDer differentiator,0,Product
G015,DevEx,Developer Quickstart,View developer onboarding page,"Corti Developer Quickstart has 3 use cases + 1 SDK install button + Docs link","iCoDer Developer Quickstart has 4 use cases + 4 AI tools (Claude Code/Cursor/Codex/Lovable) + API Playground + SDK install",DEVEX_WIN,S0,iCoDer exceeds Corti for developer onboarding; multi-IDE AI tool coverage; API Playground for interactive testing,Investment in developer experience with AI coding tool integrations,cortic_22_developer_quickstart.png vs icoder_15_developer_quickstart.png,P1,Maintain advantage; consider adding streaming code examples,0,DevRel
G016,UX,Agent Card Metadata,View agent card in list,"Corti agent cards show: name + description + use case + 'Corti built' badge","iCoDer agent cards show: name + description + status/mode/production_ready/date/author/category/version (richer metadata)",UX_DIFF,S3,iCoDer exceeds Corti on metadata transparency; users see version/author/production readiness; trust gain,Phase 4-A introduced Backend Provider architecture with metadata schema,icoder_05_agents_prebuilt.png vs corti_05_agents_prebuilt.png,P3,Maintain advantage; consider UX densification for visual hierarchy,0,Frontend
G017,UX,Breadcrumb,View breadcrumb on agent detail,"Corti breadcrumb: Console Home > Agents > [Agent name]","iCoDer breadcrumb matches (Phase 4-D added)",UX_DIFF,S0,Parity achieved,cortic_06 vs icoder_06,P0,Maintain parity,0,Frontend
G018,UX,URL Pattern,Share agent detail URL,"Corti URL: /project/{project_id}/ai-studio/agents/{agent_id} (project-scoped)","iCoDer URL: /ai-studio/agents/{agent_id}/chat (flat, no project ID; tenant implied by JWT)",UX_DIFF,S3,Single-tenant per session design; URL less shareable across projects but works for current scope,Architectural difference: iCoDer uses tenant in JWT not URL; simpler but less explicit,cortic URL vs icoder URL,P3,"Optional: add /:tenant_slug prefix for public sharing; not blocking",2 days,Backend
G019,Capability,Project Switcher,Switch between projects,"Corti sidebar header has project switcher dropdown (Songluhua songluhua with avatar)","iCoDer has ?? button top-right (likely project/console switcher but naming unclear)",UX_GAP,S3,Project switching not clearly exposed; users may not know how to switch tenants/projects,Single-tenant session design; ?? button may be theme toggle or other,cortic_02 sidebar vs icoder_02 top-right,P3,"Clarify ?? button purpose OR add explicit project switcher in sidebar header",1 day,Frontend
G020,UX,Top Bar Right Side,View top-right controls,"Corti top breadcrumb bar right: theme toggle + Docs link","iCoDer top header right: 文档 + EN + Test + dark mode + ?? + ?? (6 controls, some unclear)",UX_GAP,S3,Top bar cluttered with unclear buttons; UX confusion; 2 ?? buttons unlabelled,Phase 4-D added controls without clear taxonomy,icoder_02_home.png top-right,P3,"Audit 6 controls; remove duplicates; consolidate language/theme/test into single settings menu",1 day,Frontend
G021,UX,Settings Page,View settings page,"Corti Settings page has clean sections (Profile/API Keys/Notifications/Theme)","iCoDer Settings page matches with sections (Phase 4-D verified)",UX_DIFF,S0,Parity achieved,cortic_21 vs icoder_14,P0,Maintain parity,0,Frontend
G022,UX,Usage Page,View usage chart,"Corti Usage page has daily credits chart + period filter + API client filter","iCoDer Usage page matches (Phase 4-D verified)",UX_DIFF,S0,Parity achieved,cortic_18 vs icoder_11,P0,Maintain parity,0,Frontend
G023,UX,Billing Page,View billing page,"Corti Billing page has payment methods + invoices + credits balance","iCoDer Billing page matches (Phase 4-D verified)",UX_DIFF,S0,Parity achieved,cortic_17 vs icoder_10,P0,Maintain parity,0,Frontend
G024,UX,API Clients Page,View API clients list,"Corti API Clients page has client list + create button + scopes display","iCoDer API Clients page matches (Phase 4-D verified)",UX_DIFF,S0,Parity achieved,cortic_15 vs icoder_08,P0,Maintain parity,0,Frontend
G025,UX,Team Page,View team members,"Corti Team page has member list + invite button + role badges","iCoDer Team page matches (Phase 4-D verified)",UX_DIFF,S0,Parity achieved,cortic_16 vs icoder_09,P0,Maintain parity,0,Frontend
G026,UX,Customers Page,View customers list,"Corti Customers page has customer list + create button","iCoDer Customers page matches (Phase 4-D verified)",UX_DIFF,S0,Parity achieved,cortic_19 vs icoder_12,P0,Maintain parity,0,Frontend
G027,UX,Medical Coding Page,View coding page layout,"Corti Medical Coding page has 2-pane (Input flex-1 + Output w-480) + top toolbar (Coding systems combobox + Predict + Config)","iCoDer Medical Coding page matches 2-pane + toolbar + Config drawer (Phase 3-F verified)",UX_DIFF,S0,Parity achieved,cortic_14 vs icoder_07,P0,Maintain parity,0,Frontend
G028,UX,Fact Extraction Page,View fact extraction page,"Corti Fact Extraction page has input + extracted facts list with evidence chips","iCoDer Fact Extraction page matches with evidence chips (Phase 1.3 cycle 13 verified)",UX_DIFF,S0,Parity achieved,cortic_13 vs icoder fact-extraction,P0,Maintain parity,0,Frontend
G029,Integration,Authentication,Login via OAuth,"Corti supports Google OAuth + email/password","iCoDer supports email/password + OAuth (Google/GitHub via Simple Icons CDN Phase 4-E2)",UX_DIFF,S0,Parity achieved with GitHub addition (China-friendly alternative),cortic auth vs icoder_01 login (Phase 4-E2),P0,Maintain parity,0,Frontend
G030,Governance,PHI Redaction,Verify PHI handling in traces,"Corti redacts PHI in traces with [REDACTED] markers","iCoDer DataPolicy redacts PHI at boundary; only redacted samples in audit channel (Phase 3-C1 3-layer redaction)",GOVERNANCE_DIFF,S0,Parity achieved; iCoDer has stronger PHI guarantees for China compliance,Phase 3-C1 closed gap 3.4 (4 MCP auth types + 7 error codes + 3-layer redaction),code: backend/app/icoder/mcp/auth.py + redaction layers,P0,Maintain parity,0,Backend Governance
G031,Capability,RunTrace Viewer,View run trace for debugging,"Corti has run trace viewer with timeline","iCoDer has RunTracePage with 9-step timeline (Phase 3-D1 verified)",UX_DIFF,S0,iCoDer exceeds Corti on trace detail (9 steps vs Corti's simpler view),Phase 3-D1 built 9-step timeline + DB persistence,cortic runtrace vs icoder /runs/:runId/trace,P0,Maintain advantage,0,Frontend
G032,Capability,A2A Collaboration,View A2A agents in agent detail,"Corti has A2A collaboration panel showing discovered agents","iCoDer has A2ACollaboration component (Phase 4-D v2 A2A dispatch verified)",UX_DIFF,S0,Parity achieved,cortic_06 vs icoder_06 + A2ACollaboration.tsx,P0,Maintain parity,0,Frontend
G033,Localization,ICD Coding System,Run coding on Chinese case,"Corti uses ICD-10-CM (US) + SNOMED-CT","iCoDer uses ICD-10-CN (37,897 codes) + ICD-9-CM-3-CN (Chinese clinical modified)",LOCALIZATION_WIN,S0,iCoDer exceeds Corti for China clinical coding; native Chinese code catalog,China-specific asset wiring (iCoDerA 37,897 codes + 75,968 synonyms),code: backend/icoder_runtime + icoder_07_medical_coding.png,P0,Maintain advantage,0,Backend
G034,Integration,Backend Service Integration,Integrate HIS via backend service,"Corti supports backend-service integration pattern","iCoDer supports backend-service + ROPC embedded (Cloud-Flip 2026-06-27 architecture)",INTEGRATION_DIFF,S0,Parity achieved; iCoDer adds ROPC embedded for Web Component embed,Cloud-Flip architecture: Env (EU/US/CN) → Tenant → API Client (backend-service or ROPC-embedded),CLAUDE.md cloud deployment section,P0,Maintain parity,0,Backend
G035,DevEx,SDK Coverage,View SDK tabs in agent detail,"Corti has 3 SDK tabs (JavaScript/Python/curl)","iCoDer has 3 SDK tabs matching (Phase 4-D verified)",UX_DIFF,S0,Parity achieved,cortic_07 vs icoder agent_detail code tab,P0,Maintain parity,0,Frontend
G036,UX,Dark Mode,Toggle dark mode,"Corti has theme toggle in top bar","iCoDer has dark mode toggle (Phase 4-E2 fixed 9 missing dark tokens; 132 semantic colors now work in dark)",UX_DIFF,S0,Parity achieved with full token system,Phase 4-E2 refactored tailwind.config.js to hsl(var(--token)),phase4_e2_login_dark_mode.png,P0,Maintain parity,0,Frontend
G037,UX,Iconography,View brand icons in login,"Corti uses hand-rolled SVG for OAuth providers","iCoDer uses Simple Icons CDN for Google + GitHub with dark-mode variants (Phase 4-E2)",UX_DIFF,S0,iCoDer exceeds Corti; no hand-rolled SVG per skill §3.C,Phase 4-E2 replaced hand-rolled SVG with Simple Icons CDN,phase4_e2_login_oauth_cdn.png,P0,Maintain advantage,0,Frontend
G038,UX,Radius System,View buttons/cards/modals,"Corti uses mixed corner radius (buttons 8px / cards 12px / modals 16px)","iCoDer uses 5-tier documented radius system (xs/md/lg/xl/2xl/full, Phase 4-E2)",UX_DIFF,S0,iCoDer exceeds Corti; documented tier system,Phase 4-E2 established 5-tier system with rule comments in tailwind.config.js,tailwind.config.js,P0,Maintain advantage,0,Frontend
G039,UX,Shadow Elevation,View cards across pages,"Corti uses ring-1 ring-border/20 for card elevation","iCoDer uses shadow-sm only (Phase 4-E2 64 occurrences refactored)",UX_DIFF,S0,iCoDer matches Corti design taste skill §4.4,Phase 4-E2 refactored 64 occurrences across 16 files via sed 2-pass,phase4_e2_agents_page_shadow_sm.png,P0,Maintain parity,0,Frontend
G040,UX,Em-dash Ban,View user-visible strings,"Corti uses em-dashes in some strings","iCoDer banned em-dashes/en-dashes in user-visible strings (Phase 4-E2 29 in locales + 5 fallbacks + 4 stubs fixed)",UX_DIFF,S0,iCoDer exceeds Corti; skill §9.G compliance,Phase 4-E2 sed 2-pass refactor across locales.ts,phase4_e2 report,P0,Maintain advantage,0,Frontend
G041,UX,Eyebrow Restraint,View page section headers,"Corti uses uppercase tracking-wider eyebrows above section headers","iCoDer dropped all eyebrows per skill §4.7 (Phase 4-E2 5 pages cleaned)",UX_DIFF,S0,iCoDer exceeds Corti; skill §4.7 compliance,Phase 4-E2 removed eyebrows on RunTrace/AgentDetail/TextGen/SpeechToText/MedicalCoding,phase4_e2_ai_studio_hero_no_eyebrow.png,P0,Maintain advantage,0,Frontend
G042,Capability,Fact Extraction Backend,Run fact extraction on clinical text,"Corti fact extraction uses backend LLM with evidence anchoring","iCoDer fact extraction matches (Phase 1.3 cycle 13 verified) with BackendProviderSummary 8 fields",UX_DIFF,S0,Parity achieved,Phase 4-A established BackendProvider architecture; Phase 4-B migrated note-completeness,cortic_13 vs icoder fact-extraction,P0,Maintain parity,0,Backend
G043,Performance,Backend Startup,Start backend uvicorn,"Corti cloud-hosted (no startup concern)","iCoDer backend starts in ~3s with 16 packs discovered + 9 registered",RUNTIME_DIFF,S0,Local dev startup acceptable; cloud deploy will be managed,Local dev mode: uvicorn + sqlite,cortic cloud vs icoder backend log,P0,Maintain parity,0,Backend
G044,Governance,MCP Auth,Verify MCP tool auth,"Corti enforces MCP auth with API key + OAuth","iCoDer matches with 4 MCP auth types + 7 error codes (Phase 3-C1 verified)",GOVERNANCE_DIFF,S0,Parity achieved; iCoDer adds 3-layer redaction,Phase 3-C1 closed gap 3.4 + 3.7; commit fe19882 closed gap 3.1,backend/app/icoder/mcp/auth.py + 7 server-level tests,P0,Maintain parity,0,Backend
G045,UX,Agent Hub CTA,View CTA on home hero,"Corti home hero has 4 tabs with CTA cards","iCoDer home hero has 4 tabs with CTA cards (Phase 4-D i18n verified)",UX_DIFF,S0,Parity achieved,cortic_02 vs icoder_02,P0,Maintain parity,0,Frontend
G046,Localization, China-DRG/DIP,View DRG grouping for Chinese case,"Corti has no DRG/DIP support (US/EU focus)","iCoDer has rule structure reserved for CN-DRG/DIP (compliance_services rule_set registry)",LOCALIZATION_WIN,S0,iCoDer exceeds Corti for China DRG compliance; reserved rule structure,Architecture: compliance_services/ RuleEngine + multi rule_set support,backend/app/compliance_services/,P2,"Implement CN-DRG rule set; partner with clinical coding expert for rule authoring",10-15 days,Backend + Clinical
G047,Capability,Compliance Rule Engine,Run rule validation on codes,"Corti has compliance rule validation in agent runtime","iCoDer has ComplianceServices RuleEngine + MedicalCodingRuleSet (12 rules R001-R010 + MC-R-M80-001)",UX_DIFF,S0,Parity achieved; iCoDer has explicit rule engine architecture,Architecture: RuleEngine + multi rule_set (medical_coding/drg_dip/insurance_audit/charge_compliance/document_evidence),backend/app/compliance_services/,P0,Maintain parity,0,Backend
G048,DevEx,Agent Pack Format,View agent pack JSON,"Corti uses proprietary agent pack format","iCoDer uses AgentPackageV1 (.icoder-agent) with schema 1.2 + 16 official agent packs",DEVEX_DIFF,S0,Parity achieved; iCoDer has open pack format for ISV development,Architecture: icoder_runtime/core/agent_pack_loader + agent_pack_schema,backend/official_agents/ 16 packs,P0,Maintain parity,0,Backend
G049,UX,Announcement Banner,View home announcement,"Corti has announcement banner (Corti Models is here)","iCoDer has no announcement banner on home",UX_GAP,S3,Minor: no banner for new feature announcements; users may miss updates,Phase 4-D did not include announcement banner,cortic_02 banner vs icoder_02,P3,"Add dismissible announcement banner slot in HomePage; wire to /api/v1/announcements",1 day,Frontend + Backend
G050,UX,Survey Popup,View home survey popup,"Corti has $30 gift card feedback survey popup","iCoDer has no survey popup",UX_DIFF,S3,iCoDer exceeds Corti; no intrusive survey; cleaner first impression,Design choice: no survey popup in iCoDer,cortic_02 popup vs icoder_02,P3,Maintain advantage,0,Product
G051,Integration,A2A Inbound Handler,Send A2A task to agent,"Corti supports A2A v0.3 JSON-RPC inbound","iCoDer matches with InboundHandler + v2 dispatch (Phase 4-D verified)",INTEGRATION_DIFF,S0,Parity achieved,Phase 2 agentic framework mainline cutover + Phase 4-D v2 A2A dispatch,backend/app/icoder/agent_runtime/orchestrator/inbound_handler.py,P0,Maintain parity,0,Backend
G052,DevEx,Agent Pack Loader,Load agent pack from filesystem,"Corti cloud-managed agent registry","iCoDer has AgentPackLoader with 16 packs discovered + 9 registered at startup",DEVEX_DIFF,S0,Parity achieved; iCoDer adds filesystem-based pack loading for ISV dev,Architecture: icoder_runtime/core/agent_pack_loader,backend log 16 packs discovered,P0,Maintain parity,0,Backend
G053,Capability,MedCoder Pipeline Mode,Toggle MedCodER pipeline mode,"Corti has no equivalent 5-stage pipeline toggle","iCoDer has MedCodER pipeline toggle on MedicalCodingPage (mode=medcoder)",CAPABILITY_WIN,S0,iCoDer exceeds Corti for advanced coding accuracy; 5-stage extract/retrieve/merge/rerank/compliance,NAACL 2025 Industry Track implementation,frontend MedicalCodingPage + backend HybridCodingAdapter,P1,"Fix 60s timeout (G001); add streaming; expose stage progress",3-5 days,Backend
G054,Localization,Chinese Coding Asset Library,Run coding with Chinese ICD catalog,"Corti uses US ICD-10-CM","iCoDer uses 37,897-code ICD-10-CN catalog + 75,968 synonyms + 972-code evidence anchoring KB + 2,090 code-pair differentiation KB",LOCALIZATION_WIN,S0,iCoDer exceeds Corti for China clinical coding; native asset library,China-specific asset wiring (E:\iCoDerA 5 data assets),CLAUDE.md data assets section,P0,Maintain advantage,0,Backend + Data
G055,UX,Project Switcher Naming,Identify ?? button top-right,"Corti project switcher is clearly labelled with avatar + project name","iCoDer has ?? button (purpose unclear — likely project switcher but unlabelled)",UX_GAP,S3,Users don't know what ?? does; UX confusion; may be theme toggle or other,Phase 4-D added controls without clear labels,icoder_02_home top-right,P3,"Label ?? button with avatar + project name OR remove if unused",0.5 day,Frontend
G056,Integration,Web Component SDK,Embed assistant via Web Component,"Corti has Web Component SDK for embedded assistant","iCoDer has Web Component planned (Cloud-Flip architecture) but not yet implemented as standalone page",INTEGRATION_GAP,S3,Hospitals cannot embed iCoDer assistant in HIS/EMR via Web Component yet,Cloud-Flip 2026-06-27 architected but not yet built,cortic_12 vs App.tsx redirect,P2,"Build Web Component SDK + snippet wizard in /developer-quickstart",5-7 days,DevRel + Frontend
G057,Capability,Pre-built Agent Cloning,Clone Corti pre-built agent to my agents,"Corti has 'Use agent' / clone flow that creates user-owned copy","iCoDer has '使用智能体' button → /ai-studio/agents/{id}/chat?preset=... (Phase 3-B2 Loop 3 verified)",UX_DIFF,S0,Parity achieved,Phase 3-B2 closed gap 2.3 (clone flow),code: AgentsPage 使用智能体 button,P0,Maintain parity,0,Frontend
G058,UX,Markdown Generation,View run result as markdown,"Corti generates markdown report after agent run","iCoDer matches with custom markdown generators (Phase 3-D2 verified)",UX_DIFF,S0,Parity achieved,Phase 3-D2 closed gap 4.3 (markdown generators),backend/app/icoder/markdown_generator.py,P0,Maintain parity,0,Backend
G059,Integration,Region-prefixed Runtime API,Call runtime API with region prefix,"Corti uses api.eu.corti.app (region-prefixed)","iCoDer uses localhost:8000 (local dev) or api.{region}.icoder.cloud (cloud)",INTEGRATION_DIFF,S0,Parity achieved in cloud arch; local dev uses flat URL,Cloud-Flip 2026-06-27 architected region routing,CLAUDE.md cloud deployment,P0,Maintain parity,0,Backend
G060,UX,Markdown Evidence Parser,View evidence chips in result,"Corti has evidence chips with text span highlight","iCoDer matches with markdown evidence parser (Phase 2 cycle 22 verified)",UX_DIFF,S0,Parity achieved,Phase 2 cycle 22 built markdown evidence parser,backend markdown_generator + frontend chips,P0,Maintain parity,0,Frontend + Backend
