node_id,outcome_at_terminal_8546184,outcome_at_baseline_85a5c9a,classification,evidence,fix_action_required_at_rv
tests/test_api/test_v2_stt_get_recording_consistency.py::test_stt_get_recording_spec_is_real_and_cached,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_get_recording_consistency.py::test_v2_stt_get_recording_content_type_is_text_plain,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_get_transcript_status_consistency.py::test_stt_get_status_enum_matches_spec,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_get_transcript_status_consistency.py::test_stt_get_status_spec_is_real_and_cached,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_get_transcript_status_consistency.py::test_v2_stt_get_status_default_returns_completed,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_get_transcript_status_consistency.py::test_v2_stt_get_status_failed_sentinel,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_get_transcript_status_consistency.py::test_v2_stt_get_status_processing_sentinel,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_get_transcript_status_consistency.py::test_v2_stt_get_status_reference_round_trip,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_list_recordings_consistency.py::test_stt_recordings_list_response_required_field,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_list_recordings_consistency.py::test_stt_recordings_list_spec_is_real_and_cached,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_list_recordings_consistency.py::test_v2_stt_recordings_list_default_shape_matches_corti_spec,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_list_recordings_consistency.py::test_v2_stt_recordings_list_empty_sentinel,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_list_recordings_consistency.py::test_v2_stt_recordings_list_reference_round_trip,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_upload_recording_consistency.py::test_stt_upload_response_required_field,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_upload_recording_consistency.py::test_stt_upload_spec_is_real_and_cached,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_upload_recording_consistency.py::test_v2_stt_upload_binary_body_returns_201,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_v2_stt_upload_recording_consistency.py::test_v2_stt_upload_reference_round_trip,ERROR_AT_TERMINAL,ERROR_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_auth.py::test_health_check - AssertionError: asser...,FAILED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_oauth_audit_rejection.py::test_realm_token_endpoint_invalid_client_emits_audit,FAILED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_oauth_audit_rejection.py::test_token_endpoint_invalid_client_emits_audit,FAILED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_oauth_audit_rejection.py::test_token_endpoint_secret_mismatch_emits_audit,FAILED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_SAME,"Same node-ID, same failure signature at baseline 85a5c9a. Test files not modified by A1B-AE-R (git log 85a5c9a..8546184 empty for these files).",NONE — pre-existing baseline carryover. Out of A1B-AE-RV scope per charter §五.
tests/test_api/test_a1a_gate3r_5_migration_portability.py::test_downgrade_upgrade_roundtrip,PASSED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_FIXED_BY_A1B_AE_R,Failed/errored at baseline 85a5c9a; passes at terminal 8546184. A1B-AE-R dev DB reseed + migration work resolved these.,NONE — already fixed.
tests/test_api/test_a1a_gate3r_5_migration_portability.py::test_fresh_sqlite_applies_all_migrations_to_head,PASSED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_FIXED_BY_A1B_AE_R,Failed/errored at baseline 85a5c9a; passes at terminal 8546184. A1B-AE-R dev DB reseed + migration work resolved these.,NONE — already fixed.
tests/test_api/test_a1a_gate3r_5_migration_portability.py::test_interrupted_recovery_completes_on_retry,PASSED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_FIXED_BY_A1B_AE_R,Failed/errored at baseline 85a5c9a; passes at terminal 8546184. A1B-AE-R dev DB reseed + migration work resolved these.,NONE — already fixed.
tests/test_api/test_a1a_gate3r_5_migration_portability.py::test_migration_020_idempotent_rerun,PASSED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_FIXED_BY_A1B_AE_R,Failed/errored at baseline 85a5c9a; passes at terminal 8546184. A1B-AE-R dev DB reseed + migration work resolved these.,NONE — already fixed.
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L11_migration_head_is_020_on_fresh_db,PASSED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_FIXED_BY_A1B_AE_R,Failed/errored at baseline 85a5c9a; passes at terminal 8546184. A1B-AE-R dev DB reseed + migration work resolved these.,NONE — already fixed.
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_migration_021_added_check_constraint_on_clinical_tables,PASSED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_FIXED_BY_A1B_AE_R,Failed/errored at baseline 85a5c9a; passes at terminal 8546184. A1B-AE-R dev DB reseed + migration work resolved these.,NONE — already fixed.
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_migration_021_left_no_null_organization_id_in_clinical_tables,PASSED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_FIXED_BY_A1B_AE_R,Failed/errored at baseline 85a5c9a; passes at terminal 8546184. A1B-AE-R dev DB reseed + migration work resolved these.,NONE — already fixed.
tests/test_api/test_phase5_b1_gap_13_02_hub_has_24_agents.py::test_hub_has_at_least_24_agents,PASSED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_FIXED_BY_A1B_AE_R,Failed/errored at baseline 85a5c9a; passes at terminal 8546184. A1B-AE-R dev DB reseed + migration work resolved these.,NONE — already fixed.
tests/test_api/test_phase5_d_p05_gate1_data_consistency.py::test_persist_case_localizes_ids_real_db,PASSED_AT_TERMINAL,FAILED_AT_BASELINE,PRE_EXISTING_FIXED_BY_A1B_AE_R,Failed/errored at baseline 85a5c9a; passes at terminal 8546184. A1B-AE-R dev DB reseed + migration work resolved these.,NONE — already fixed.
