node_id,baseline_status_85a5c9a,terminal_status_8546184,transition,classification
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L2_db_rejects_invalid_trace_capture_status[OK],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L2_db_rejects_invalid_trace_capture_status[PERSIST],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L3_runtime_history_excludes_all_invisible,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L4_point_lookup_ambiguous_returns_404_no_leak,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L4_point_lookup_modern_system_returns_404,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L4_point_lookup_modern_visible,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L4_point_lookup_quarantined_returns_404_no_leak,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L4_point_lookup_unknown_returns_404_no_leak,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L5_trace_partner_denies_invisible,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L6_system_audit_accepts_security_admin_prefix,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3_8_security_negative_consolidated.py::test_L6_system_audit_refuses_tenant_action,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_console_trace_modern_row_still_served,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_console_trace_orphan_run_emits_system_audit,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_console_trace_orphan_run_returns_404,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_legacy_classifier_recognizes_orphan_run_actions,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_orphan_run_actions_in_system_audit_allowlist,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_partner_trace_modern_row_still_served,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_partner_trace_orphan_run_returns_404_with_no_org_token,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_partner_trace_orphan_run_returns_404_with_org_token,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_sse_modern_row_still_served,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_sse_orphan_run_emits_system_audit,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_sse_orphan_run_returns_404_with_no_org_token,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_1_orphan_run_denial.py::test_sse_orphan_run_returns_404_with_org_token,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_2_audit_emit_wiring.py::test_api_client_rotate_emits_audit,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_2_audit_emit_wiring.py::test_idempotency_dedup_emits_on_replay,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_2_audit_emit_wiring.py::test_legacy_classifier_recognizes_lifecycle_actions,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_2_audit_emit_wiring.py::test_run_cancel_audit_carries_outcome,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_2_audit_emit_wiring.py::test_run_cancel_emits_audit,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_2_audit_emit_wiring.py::test_run_cancel_not_found_does_not_emit,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_2_audit_emit_wiring.py::test_run_lifecycle_actions_in_allowlist,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_cloud_mode_memory_dev_refused_at_boot,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_cloud_mode_required_db_profile_accepted,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_db_store_writes_canonical_state_names,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_in_memory_store_marks_fallback_memory,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_is_answered_distinguishes_pending_from_terminal,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_is_lost_distinguishes_recoverable_from_unrecoverable,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_legacy_null_trace_status_rows_remain_readable,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_normalize_maps_persisted_to_captured,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_profile_predicates,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_record_run_start_stamps_capture_pending,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_resolver_cloud_db_failclosed_is_required_db,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_resolver_cloud_db_no_failclosed_is_best_effort,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_resolver_cloud_memory_is_memory_dev_then_refused_at_boot,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_resolver_explicit_override_wins,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_resolver_invalid_profile_raises,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_resolver_local_memory_is_memory_dev,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_should_fail_closed_returns_false_for_best_effort_db,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_should_fail_closed_returns_false_for_memory_dev,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_should_fail_closed_returns_true_for_required_db,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_state_machine_all_states_includes_legacy_alias,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_3_trace_capture_profiles.py::test_state_machine_has_5_canonical_states,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_assign_identity_returns_uuid_v4_shaped_event_id,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_assign_identity_two_calls_produce_different_uuids,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_db_store_append_populates_identity_columns,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_db_store_append_without_trace_id_writes_null_trace,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_legacy_read_path_still_works_with_null_event_id,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_migration_020_has_upgrade_and_downgrade,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_migration_020_imports_cleanly,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_model_has_new_identity_columns,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_model_new_columns_are_nullable,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_sequence_counter_falls_back_to_run_id_when_no_trace,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_sequence_counter_keys_on_trace_id,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_4_trace_event_identity.py::test_trace_capture_state_allowlist_unchased_post_migration,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_5_migration_portability.py::test_all_migrations_have_unique_revisions,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_5_migration_portability.py::test_downgrade_upgrade_roundtrip,FAILED,PASSED,FAILED_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_5_migration_portability.py::test_fresh_sqlite_applies_all_migrations_to_head,FAILED,PASSED,FAILED_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_5_migration_portability.py::test_interrupted_recovery_completes_on_retry,FAILED,PASSED,FAILED_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_5_migration_portability.py::test_migration_020_idempotent_rerun,FAILED,PASSED,FAILED_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_5_migration_portability.py::test_migration_chain_is_contiguous,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_5_migration_portability.py::test_postgresql_migration_verification_blocked,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L10_event_id_is_uuid_v4_shaped,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L10_sequence_counter_monotonic_per_trace,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L11_migration_head_is_020_on_fresh_db,FAILED,PASSED,FAILED_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L11_migration_idempotent_rerun,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L12_partner_trace_cross_org_denied,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L12_partner_trace_valid_org_accepted,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L13_module_imports_clean[tests.test_api.test_a1a_gate3r_1_orphan_run_denial],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L13_module_imports_clean[tests.test_api.test_a1a_gate3r_2_audit_emit_wiring],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L13_module_imports_clean[tests.test_api.test_a1a_gate3r_3_trace_capture_profiles],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L13_module_imports_clean[tests.test_api.test_a1a_gate3r_4_trace_event_identity],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L13_module_imports_clean[tests.test_api.test_a1a_gate3r_5_migration_portability],PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L7_console_trace_orphan_run_denied,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L7_partner_sse_orphan_run_denied,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L7_partner_trace_orphan_run_denied,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L8_record_run_start_stamps_capture_pending,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L8_run_lifecycle_actions_classified_correctly,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L8_run_lifecycle_actions_in_allowlist,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L9_deployment_profile_matrix,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L9_normalize_persisted_to_captured,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate3r_8_regression_security_negative.py::test_L9_trace_capture_state_only_six_literals,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_actual_tenant_helpers_exist,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_assert_org_scope_does_not_exist,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_cdi_case_model_has_not_null_organization_id,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_cloud_mode_rejects_unauthenticated_request,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_document_model_has_not_null_organization_id,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_encounter_cross_tenant_read_returns_404,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_encounter_model_has_not_null_organization_id,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_frontend_api_ts_attaches_tenant_name_header,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_jwt_authoritative_when_header_mismatches,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_migration_021_added_check_constraint_on_clinical_tables,FAILED,PASSED,FAILED_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_migration_021_blocks_null_insert_via_check,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_migration_021_left_no_null_organization_id_in_clinical_tables,FAILED,PASSED,FAILED_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_2_clinical_tenant_boundary.py::test_tenant_header_hint_only_when_jwt_absent_local_mode,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_3_live_path_redaction.py::test_audit_details_allows_operational_keys,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_3_live_path_redaction.py::test_audit_details_preserves_none,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_3_live_path_redaction.py::test_audit_details_redacts_known_phi_keys,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
tests/test_api/test_a1a_gate4_3_live_path_redaction.py::test_audit_details_redacts_unknown_keys_defensively,PASSED,PASSED,PASS_TO_PASS,FIXED_BY_A1B_AE_R
