node_id,classification,root_cause,first_apperance_commit,module,fix_strategy,affects_pilot,priority,target_gate,owner,message_excerpt
tests.integration.icoder.test_phase3b1_discovery_unification_contract::test_seed_prebuilt_agents_no_silent_collision_with_packs,SPEC_DRIFT,Phase 3B1 hub/discovery contract evolved; tests are integration-coupled to old shape,(pre-A1C carryover from 8546184),integration/icoder/test_phase3b1_discovery_unification_contract::test_seed_prebuilt_agents_no_silent_collision_with_packs,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: Pack-backed icoder/code-validation-agent@1.0.0 should appear in Hub (canonical Corti-aligned version). I
tests.integration.icoder.test_phase3b1_medical_coding_a2a_migration::test_a2a_medical_coding_agent_state_history_in_metadata,SPEC_DRIFT,Phase 3B1 hub/discovery contract evolved; tests are integration-coupled to old shape,(pre-A1C carryover from 8546184),integration/icoder/test_phase3b1_medical_coding_a2a_migration::test_a2a_medical_coding_agent_state_history_in_metadata,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: state_history must have ≥4 transitions (planning→delegating→aggregating→completed); got: [] assert 0 >= 
tests.integration.icoder.test_phase3b2_loop4_hub_use_case_filter::test_hub_no_use_case_filter_returns_all_visible,SPEC_DRIFT,Phase 3B2 hub use-case filter evolved,(pre-A1C carryover from 8546184),integration/icoder/test_phase3b2_loop4_hub_use_case_filter::test_hub_no_use_case_filter_returns_all_visible,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,"AssertionError: Expected 11 visible packs, got 24 assert 24 == 11"
tests.integration.icoder.test_phase3b2_loop4_hub_use_case_filter::test_hub_filter_coding_revenue_cycle_returns_all_11,SPEC_DRIFT,Phase 3B2 hub use-case filter evolved,(pre-A1C carryover from 8546184),integration/icoder/test_phase3b2_loop4_hub_use_case_filter::test_hub_filter_coding_revenue_cycle_returns_all_11,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,"AssertionError: Expected 11 packs for coding_revenue_cycle, got 17 assert 17 == 11"
tests.integration.icoder.test_phase3d1_three_agents_a2a_smoke::test_run_trace_page_works_for_simple_agent,TEST_DEFECT,run_trace store API shape changed (memory/db); test fixtures not updated,(pre-A1C carryover from 8546184),integration/icoder/test_phase3d1_three_agents_a2a_smoke::test_run_trace_page_works_for_simple_agent,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,assert 404 == 200  +  where 404 = <Response [404 Not Found]>.status_code
tests.test_api.test_a1b_ae_3_expert_registry::test_migration_022_origin_backfill_for_prebuilts,SPEC_DRIFT,A1B-AE.3 expert registry contract evolved post-clean-room,(pre-A1C carryover from 8546184),test_api/test_a1b_ae_3_expert_registry::test_migration_022_origin_backfill_for_prebuilts,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: Prebuilt experts not backfilled to PACK_DECLARED: {'ICODER_INTERNAL': 30} assert 30 == 0
tests.test_api.test_oauth_audit_rejection::test_token_endpoint_invalid_client_emits_audit,TEST_DEFECT,oauth_audit_rejection fixture drift — JWT test tokens expired or scope set changed,(pre-A1C carryover from 8546184),test_api/test_oauth_audit_rejection::test_token_endpoint_invalid_client_emits_audit,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,AssertionError: assert '[REDACTED]' == 'unknown-client-a1a-test'      - unknown-client-a1a-test   + [REDACTED]
tests.test_api.test_oauth_audit_rejection::test_token_endpoint_secret_mismatch_emits_audit,TEST_DEFECT,oauth_audit_rejection fixture drift — JWT test tokens expired or scope set changed,(pre-A1C carryover from 8546184),test_api/test_oauth_audit_rejection::test_token_endpoint_secret_mismatch_emits_audit,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,AssertionError: assert '[REDACTED]' == 'icoder-f2b1b...4be5f72820cbd'      - icoder-f2b1bf96a004be5f72820cbd   + [REDACT
tests.test_api.test_oauth_audit_rejection::test_realm_token_endpoint_invalid_client_emits_audit,TEST_DEFECT,oauth_audit_rejection fixture drift — JWT test tokens expired or scope set changed,(pre-A1C carryover from 8546184),test_api/test_oauth_audit_rejection::test_realm_token_endpoint_invalid_client_emits_audit,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,AssertionError: assert '[REDACTED]' == 'base'      - base   + [REDACTED]
tests.test_services.test_mcp::test_mcp_wrapper_discover_tools_invalid_url,SPEC_DRIFT,MCP tool dispatch scope set evolved; tests assert old scope,(pre-A1C carryover from 8546184),test_services/test_mcp::test_mcp_wrapper_discover_tools_invalid_url,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,app.services.mcp_wrapper.McpSSRFBlocked: SSRF blocked: url='http://localhost:99999/nonexistent' reason=localhost resolve
tests.unit.app.test_config_fail_closed::test_cloud_mode_boots_with_all_required_vars,TEST_DEFECT,config fail-closed test contract drift — env var or default changed,(pre-A1C carryover from 8546184),unit/app/test_config_fail_closed::test_cloud_mode_boots_with_all_required_vars,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,RuntimeError: [A1A Gate 1 fail-closed] ICODER_DEPLOYMENT_MODE=cloud but:   - ICODER_PHI_ENCRYPTION_KEY is empty; require
tests.unit.app.test_run_trace_persistence::test_db_store_append_persists_event,TEST_DEFECT,run_trace store API shape changed (memory/db); test fixtures not updated,(pre-A1C carryover from 8546184),unit/app/test_run_trace_persistence::test_db_store_append_persists_event,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,assert 0 == 1  +  where 0 = len([])
tests.unit.app.test_run_trace_persistence::test_db_store_append_stamps_persisted_on_run_history,TEST_DEFECT,run_trace store API shape changed (memory/db); test fixtures not updated,(pre-A1C carryover from 8546184),unit/app/test_run_trace_persistence::test_db_store_append_stamps_persisted_on_run_history,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,"AssertionError: expected PERSISTED, got None assert None == 'PERSISTED'"
tests.unit.app.test_run_trace_persistence::test_db_store_append_failure_stamps_failed,TEST_DEFECT,run_trace store API shape changed (memory/db); test fixtures not updated,(pre-A1C carryover from 8546184),unit/app/test_run_trace_persistence::test_db_store_append_failure_stamps_failed,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,AssertionError: assert 'CAPTURED' == 'FAILED'      - FAILED   + CAPTURED
tests.unit.app.test_run_trace_persistence::test_db_store_append_failure_raises_when_fail_closed,TEST_DEFECT,run_trace store API shape changed (memory/db); test fixtures not updated,(pre-A1C carryover from 8546184),unit/app/test_run_trace_persistence::test_db_store_append_failure_raises_when_fail_closed,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,Failed: DID NOT RAISE <class 'Exception'>
tests.unit.app.test_run_trace_persistence::test_memory_store_append_stamps_fallback_memory,TEST_DEFECT,run_trace store API shape changed (memory/db); test fixtures not updated,(pre-A1C carryover from 8546184),unit/app/test_run_trace_persistence::test_memory_store_append_stamps_fallback_memory,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,AssertionError: assert None == 'FALLBACK_MEMORY'  +  where None = _read_trace_status('C:\\Users\\huawei\\AppData\\Local\
tests.unit.icoder.agent_runtime.test_run_trace_db_store::test_api_returns_200_for_same_org_run,TEST_DEFECT,run_trace store API shape changed (memory/db); test fixtures not updated,(pre-A1C carryover from 8546184),unit/icoder/agent_runtime,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,assert 404 == 200  +  where 404 = <Response [404 Not Found]>.status_code
tests.unit.icoder.agent_runtime.test_run_trace_store::test_get_run_trace_returns_timeline,TEST_DEFECT,run_trace store API shape changed (memory/db); test fixtures not updated,(pre-A1C carryover from 8546184),unit/icoder/agent_runtime,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,assert 404 == 200  +  where 404 = <Response [404 Not Found]>.status_code
tests.unit.icoder.agent_runtime.test_run_trace_store::test_get_run_trace_raw_format,TEST_DEFECT,run_trace store API shape changed (memory/db); test fixtures not updated,(pre-A1C carryover from 8546184),unit/icoder/agent_runtime,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,assert 404 == 200  +  where 404 = <Response [404 Not Found]>.status_code
tests.unit.icoder.agent_runtime.test_three_runnable_agents::test_compliance_guardrail_passes_complete_case,UNKNOWN,Requires manual triage — pattern not in classifier,(pre-A1C carryover from 8546184),unit/icoder/agent_runtime,Manual triage to classify,NO,P2,A1C.1,A1C team,AssertionError: assert 'WARNING' == 'PASS'      - PASS   + WARNING
tests.unit.icoder.backends.test_agent_pack_backend_schema::test_old_pack_defaults_backend_provider_to_empty,UNKNOWN,Requires manual triage — pattern not in classifier,(pre-A1C carryover from 8546184),unit/icoder/backends,Manual triage to classify,NO,P2,A1C.1,A1C team,AssertionError: assert 'icoder.rule-engine.v1' == ''      + icoder.rule-engine.v1
tests.unit.icoder.backends.test_agent_pack_backend_schema::test_to_summary_for_legacy_pack_shows_empty_backend,UNKNOWN,Requires manual triage — pattern not in classifier,(pre-A1C carryover from 8546184),unit/icoder/backends,Manual triage to classify,NO,P2,A1C.1,A1C team,AssertionError: assert 'icoder.rule-engine.v1' == ''      + icoder.rule-engine.v1
tests.unit.icoder.backends.test_llm_with_tools_provider::test_invoke_skeleton_calls_one_tool_through_mcp,TEST_DEFECT,llm_with_tools_provider mock contract drift — tool-call event shape evolved; tests expect old skeleton,(pre-A1C carryover from 8546184),unit/icoder/backends,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,"assert 0 == 1  +  where 0 = len([])  +    where [] = BackendResponse(status='pass', summary='{""review_conclusion"": ""PASS"
tests.unit.icoder.backends.test_llm_with_tools_provider::test_invoke_skeleton_without_request_records_error_in_tool_call,TEST_DEFECT,llm_with_tools_provider mock contract drift — tool-call event shape evolved; tests expect old skeleton,(pre-A1C carryover from 8546184),unit/icoder/backends,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,"assert 0 == 1  +  where 0 = len([])  +    where [] = BackendResponse(status='pass', summary='{""review_conclusion"": ""PASS"
tests.unit.icoder.backends.test_llm_with_tools_provider::test_invoke_skeleton_markdown_contains_tool_call_summary,TEST_DEFECT,llm_with_tools_provider mock contract drift — tool-call event shape evolved; tests expect old skeleton,(pre-A1C carryover from 8546184),unit/icoder/backends,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,"assert 'Tool Calls' in '{""review_conclusion"": ""PASS"", ""primary_diagnosis"": {""code"": ""I21.0"", ""description"": ""急性前壁心肌梗死""},"
tests.unit.icoder.backends.test_llm_with_tools_provider::test_stream_skeleton_yields_four_event_kinds,TEST_DEFECT,llm_with_tools_provider mock contract drift — tool-call event shape evolved; tests expect old skeleton,(pre-A1C carryover from 8546184),unit/icoder/backends,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,"AssertionError: assert 'tool_calls' in ['backend_invoked', 'output_chunk', 'finished']"
tests.unit.icoder.backends.test_pure_llm_provider::test_health_degraded_without_llm_client,TEST_DEFECT,pure_llm_provider mock contract drift — placeholder markdown API changed; tests expect old shape,(pre-A1C carryover from 8546184),unit/icoder/backends,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,AssertionError: assert 'ok' == 'degraded'      - degraded   + ok
tests.unit.icoder.backends.test_pure_llm_provider::test_invoke_skeleton_returns_placeholder_markdown,TEST_DEFECT,pure_llm_provider mock contract drift — placeholder markdown API changed; tests expect old shape,(pre-A1C carryover from 8546184),unit/icoder/backends,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,"assert 'Skeleton Response' in '{""review_conclusion"": ""PASS"", ""primary_diagnosis"": {""code"": ""I21.0"", ""description"": ""急性前壁"
tests.unit.icoder.backends.test_pure_llm_provider::test_invoke_uses_redacted_input_when_user_input_empty,TEST_DEFECT,pure_llm_provider mock contract drift — placeholder markdown API changed; tests expect old shape,(pre-A1C carryover from 8546184),unit/icoder/backends,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,"assert 'patient with severe COPD' in '{""review_conclusion"": ""PASS"", ""primary_diagnosis"": {""code"": ""I21.0"", ""description"""
tests.unit.icoder.backends.test_pure_llm_provider::test_invoke_uses_agent_pack_system_prompt_when_empty,TEST_DEFECT,pure_llm_provider mock contract drift — placeholder markdown API changed; tests expect old shape,(pre-A1C carryover from 8546184),unit/icoder/backends,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,"assert 'Note Completeness Agent' in '{""review_conclusion"": ""PASS"", ""primary_diagnosis"": {""code"": ""I21.0"", ""description"":"
tests.unit.icoder.mcp.test_dispatch_detail::test_run_trace_api_returns_dispatch_detail,TEST_DEFECT,run_trace store API shape changed (memory/db); test fixtures not updated,(pre-A1C carryover from 8546184),unit/icoder/mcp,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,assert 404 == 200  +  where 404 = <Response [404 Not Found]>.status_code
tests.unit.icoder_runtime.test_agent_pack_loader::test_discover_v1_files_finds_16_packs,SPEC_DRIFT,Agent pack count expectation (16) outdated — registry evolved with new expert stubs,(pre-A1C carryover from 8546184),unit/icoder_runtime/test_agent_pack_loader::test_discover_v1_files_finds_16_packs,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: assert 30 == 16  +  where 30 = len({'cdi-review': [WindowsPath('E:/Corti4C/backend/official_agents/cdi-r
tests.unit.icoder_runtime.test_agent_pack_loader::test_load_packs_from_dir_loads_all_16,SPEC_DRIFT,Agent pack count expectation (16) outdated — registry evolved with new expert stubs,(pre-A1C carryover from 8546184),unit/icoder_runtime/test_agent_pack_loader::test_load_packs_from_dir_loads_all_16,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,"AssertionError: assert 30 == 16  +  where 30 = len([NormalizedPack(raw={'format_version': '1.2', 'agent_type': 'certifie"
tests.unit.icoder_runtime.test_agent_pack_loader::test_all_16_official_packs_load_via_new_loader,SPEC_DRIFT,Agent pack count expectation (16) outdated — registry evolved with new expert stubs,(pre-A1C carryover from 8546184),unit/icoder_runtime/test_agent_pack_loader::test_all_16_official_packs_load_via_new_loader,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,"AssertionError: assert 30 == 16  +  where 30 = len([NormalizedPack(raw={'format_version': '1.2', 'agent_type': 'certifie"
tests.unit.icoder_runtime.test_registry_status::test_compute_compatibility_returns_16_packs,SPEC_DRIFT,Agent pack count expectation (16) outdated — registry evolved with new expert stubs,(pre-A1C carryover from 8546184),unit/icoder_runtime/test_registry_status::test_compute_compatibility_returns_16_packs,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: assert 30 == 16  +  where 30 = RegistryCompatibilityReport(entries=[AgentCompatibilityEntry(agent_ref='i
tests.unit.icoder_runtime.test_registry_status::test_compute_compatibility_status_distribution,SPEC_DRIFT,Agent pack count expectation (16) outdated — registry evolved with new expert stubs,(pre-A1C carryover from 8546184),unit/icoder_runtime/test_registry_status::test_compute_compatibility_status_distribution,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,assert 3 == 4
tests.unit.icoder_runtime.test_registry_status::test_compute_compatibility_expert_stubs_are_metadata_only,SPEC_DRIFT,Agent pack count expectation (16) outdated — registry evolved with new expert stubs,(pre-A1C carryover from 8546184),unit/icoder_runtime/test_registry_status::test_compute_compatibility_expert_stubs_are_metadata_only,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,"AssertionError: assert 3 == 4  +  where 3 = len([AgentCompatibilityEntry(agent_ref='icoder/code-reconciler@1.0.0', name="
tests.unit.icoder_runtime.test_registry_status::test_compute_compatibility_v11_packs_all_executable,SPEC_DRIFT,Agent pack count expectation (16) outdated — registry evolved with new expert stubs,(pre-A1C carryover from 8546184),unit/icoder_runtime/test_registry_status::test_compute_compatibility_v11_packs_all_executable,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,"AssertionError: assert 4 == 7  +  where 4 = len([AgentCompatibilityEntry(agent_ref='icoder/claim-check@1.0.0', name='结算合"
tests.unit.icoder_runtime.test_registry_status::test_compute_compatibility_cross_ref_registry,SPEC_DRIFT,Agent pack count expectation (16) outdated — registry evolved with new expert stubs,(pre-A1C carryover from 8546184),unit/icoder_runtime/test_registry_status::test_compute_compatibility_cross_ref_registry,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,"AssertionError: assert 4 == 7  +  where 4 = len(['icoder/claim-check@1.0.0', 'icoder/denial-appeals@1.0.0', 'icoder/diag"
tests.unit.icoder_runtime.test_registry_status::test_builtin_pack_provider_discover_all_returns_16,SPEC_DRIFT,Agent pack count expectation (16) outdated — registry evolved with new expert stubs,(pre-A1C carryover from 8546184),unit/icoder_runtime/test_registry_status::test_builtin_pack_provider_discover_all_returns_16,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,"AssertionError: assert 30 == 16  +  where 30 = len([NormalizedPack(raw={'format_version': '1.2', 'agent_type': 'certifie"
tests.unit.icoder_runtime.test_registry_status::test_builtin_pack_provider_compatibility_report,SPEC_DRIFT,Agent pack count expectation (16) outdated — registry evolved with new expert stubs,(pre-A1C carryover from 8546184),unit/icoder_runtime/test_registry_status::test_builtin_pack_provider_compatibility_report,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: assert 30 == 16  +  where 30 = RegistryCompatibilityReport(entries=[AgentCompatibilityEntry(agent_ref='i
tests.unit.icoder_runtime.test_registry_status::test_builtin_pack_provider_register_all_skips_metadata_only,SPEC_DRIFT,Agent pack count expectation (16) outdated — registry evolved with new expert stubs,(pre-A1C carryover from 8546184),unit/icoder_runtime/test_registry_status::test_builtin_pack_provider_register_all_skips_metadata_only,Update test expectations to match evolved contract (localization / pack count / rule scope),YES,P2,A1C.1,A1C team,AssertionError: assert 16 == 12  +  where 16 = <MagicMock name='mock.install_agent' id='1849890441936'>.call_count  +   
tests.unit.scripts.test_schema_drift::test_no_schema_drift_against_fresh_alembic_db,PRODUCT_DEFECT,Schema drift detected — ORM model and alembic head diverged; requires Migration reconciliation,(pre-A1C carryover from 8546184),unit/scripts/test_schema_drift::test_no_schema_drift_against_fresh_alembic_db,Investigate ORM vs alembic head diff; add Migration to reconcile,YES,P1,A1C.1,A1C team,Failed: schema drift check failed (exit 1): stdout: DRIFT_COUNT: 15 DRIFT [server_default_mismatch] experts.origin  ORM=
tests.unit.scripts.test_schema_drift::test_drift_checker_detects_missing_column,TEST_DEFECT,"DevDbSessionGuard teardown attribution noise (RV.6 finding) — test body PASSES, teardown fails on data/icoder.db mtime heuristic",(pre-A1C carryover from 8546184),unit/scripts/test_schema_drift::test_drift_checker_detects_missing_column,Update test fixtures/mocks to match current API shape,NO,P3,A1C.1,A1C team,"ERROR: failed on teardown with ""RuntimeError: A1B-AE-RV.2 dev DB guard: data/icoder.db was MODIFIED during the test sess"
